"Aretino, Pietro",66609417
"Alexander IV, Pope",63995257
"Urban V, Pope",61553322
"Benedict XII, Pope",36914465
"Nicholas III, Pope",79164014
"Maffei, Raffaele",7378031
"FitzRalph, Richard",55479191
"Kilwardby, Robert",100188011
Roger Swineshead,63749240
"Harpocration, Valerius",211435698
"Facio, Bartolomeo",44430547
"Worcester, John Tiptoft, Earl of",745907
"Bolognini, Lodovico",49335951
"Leontius, Bishop of Neapolis",120699895
Maximus Victorinus,51405320
Mondino dei Luzzi,10203574
Nicephorus Callistus Xanthopulus,29698295
"Saint-Gelais, Octavien de",51700679
Petronius Arbiter,95155909
"Pius V, Pope",89607114
"Bonus, Petrus",79190181
"Lando, Pietro",63843536
"Alexander VI, Pope",2501524
"Pontico Virunio, Ludovico",61691256
"Strode, Ralph",18781487
"Geraldini, Alessandro",20485717
"Arcolani, Giovanni",49110403
"Torre, Alfonso de la",51414530
"Alciati, Andrea",51699991
"Poliziano, Angelo",9867884
"Pigafetta, Antonio",100176226
"Pucci, Antonio",90636401
"Saliceto, Bartolomeo da",172184893
"Mallius, Petrus",78712670
"Eustratius, Metropolitan of Nicaea",250237510
"Fabri, Felix",39376654
"Pulgar, Fernando del",73962823
"Ferdinand I, King of Naples",31311630
"Valier, Agostino",62367445
"Gregory XII, Pope",25394064
"Curlo, Giacomo",52543615
"Griffolini, Francesco",40466384
"Fontaneto, Guglielmo da",39319257
"Le Muisit, Gilles",39399477
"Vasari, Giorgio",46768219
"Caroldo, Gian Giacomo",74284223
"Cardano, Girolamo",27062058
"Moleti, Giuseppe",59235532
"Konrad III, King of the Romans",18017028
"Robert, King of Naples",34501062
"Henry VII, Holy Roman Emperor",6409358
"Mandagot, Guillaume de",64180705
"Castellesi, Adriano",22293686
"Landino, Cristoforo",42629956
"Capgrave, John",27079079
"Glykas, Michael",37073375
"Beccaria, Antonio",69282539
"Spini, Gherardo",73816520
"Maggi, Girolamo",32060575
"Cellini, Benvenuto",56629983
"Ennius, Quintus",315533154
"Calapoda, Georgio",23527402
